Name,Sex,Country,AVG,League
Lucas de Jong,Male,Netherlands,41.73,1
Lukas Kazlauskas,Male,Lithuania,44.11,1
Sofia Martinez,Female,Argentina,43.69,1
Lukas Ragedanzk,Male,Germany,38.69,1
Charlie Wilson,Male,England,45.1,1
Adam Novák,Male,Czech Republic,47.93,1
Maximilian Sägemann,Male,Germany,41.46,1
Hugo Fernández,Male,Spain,45.56,1
Harry Jones,Male,England,45.68,1
Gareth Williams,Male,Wales,41.96,1
Sophia Filster,Female,Germany,35.77,2
Noah Wilson,Male,New Zealand,37.35,2
Owen Jones,Male,Wales,39.88,2
Leo Evans,Male,England,36.15,2
PLAYER,,,,2
Ethan Taylor,Male,Australia,40.16,2
Louis Dubois,Male,France,42.15,2
Ryan Fraser,Male,Scotland,38.63,2
Rhys Evans,Male,Wales,34.59,2
Emily Johnson,Female,England,36.29,2
Liam Stewart,Male,Scotland,31.91,3
Jakub Nowakicz,Male,Poland,32.61,3
Jonas Meinhard,Male,Germany,35.66,3
Gabriel Martin,Male,France,35.65,3
Sean O'Brien,Male,Ireland,33.1,3
George Williams,Male,England,34.47,3
Levi van Dijk,Male,Netherlands,31.84,3
Alexander Kuhn,Male,Germany,36.1,4
Mateo Garcia,Male,Colombia,27.01,0
Adam Wright,Male,USA,31.91,0
Rose McGregor,Female,Scotland,27.8,0
Dylan Daly,Male,Ireland,33.28,0
