Name,Sex,Country,AVG,League
Adam Novák,Male,Czech Republic,47.12,1
Sofia Martinez,Female,Argentina,45.40,1
Hugo Fernández,Male,Spain,44.91,1
Owen Jones,Male,Wales,39.59,1
Louis Dubois,Male,France,42.44,1
Gareth Williams,Male,Wales,41.54,1
Harry Jones,Male,England,44.5,1
Ryan Fraser,Male,Scotland,39.86,1
Lukas Kazlauskas,Male,Lithuania,44.32,1
Charlie Wilson,Male,England,45.63,1
Emily Johnson,Female,England,35.96,2
Leo Evans,Male,England,35.97,2
Maximilian Sägemann,Male,Germany,40.37,2
Gabriel Martin,Male,France,38.1,2
Ethan Taylor,Male,Australia,39.67,2
Jack Taylor,Male,England,35.35,2
Lukas Ragedanzk,Male,Germany,38.07,2
Rhys Evans,Male,Wales,36.35,2
Lucas de Jong,Male,Netherlands,40.90,2
Noah Wilson,Male,New Zealand,37.84,2
Sean O'Brien,Male,Ireland,34.43,3
George Williams,Male,England,35.45,3
Noah Davies,Male,England,32.59,3
Jonas Meinhard,Male,Germany,34.41,3
Levi van Dijk,Male,Netherlands,33.47,3
Sophia Filster,Female,Germany,35.68,3
Aiden MacDonald,Male,Scotland,32.22,3
Matilde Santos,Female,Portugal,30.47,3
Jakub Nowakicz,Male,Poland,32.17,3
Liam Stewart,Male,Scotland,34.95,3
Lucas Peeters,Male,Belgium,31.33,4
Finn van der Kerg,Male,Netherlands,26.25,4
Dylan Thomas,Male,Wales,29.14,4
Gabriel Silva,Male,Brazil,28.15,4
Amelia Brown,Female,England,31.1,4
Oliver Smith,Male,England,31.06,4
Mateo Garcia,Male,Colombia,26.23,4
Conor Murphy,Male,Ireland,31.88,4
Ryan Kelly,Male,Ireland,26.85,4
PLAYER,,,,4
