Day,Home Player,Away Player,Result,Game Log
1,Lucas Peeters,PLAYER,4-5,2eb96723-d6ff-4f9b-8603-a3fd42423f3f
1,Finn van der Kerg,Ryan Kelly,5-2,c87b789e-16d9-4bb6-b528-0c76f90e9208
1,Dylan Thomas,Conor Murphy,5-3,8933d05a-d4f9-43b3-b8c8-88ca7ce9e204
1,Gabriel Silva,Mateo Garcia,3-5,b8f9766a-76c9-487e-8859-a32906acf782
1,Amelia Brown,Oliver Smith,5-2,94e2ce65-a4ef-462a-aec0-2c2acf48c3fb
2,Lucas Peeters,Ryan Kelly,5-2,4ca780d2-5f90-41f0-a582-f6d7c0e1a69c
2,PLAYER,Conor Murphy,5-1,3286ce8a-d2f5-472b-b445-73a9a0f58dcd
2,Finn van der Kerg,Mateo Garcia,2-5,daa10a0b-0567-43b6-8f69-27634a4e777c
2,Dylan Thomas,Oliver Smith,2-5,44e6516c-29d1-45e7-b3dd-23787cd70e0f
2,Gabriel Silva,Amelia Brown,2-5,dae76dc5-19cc-4082-bb1e-02bc015351cd
3,Lucas Peeters,Conor Murphy,5-3,654e9e5c-b760-41b6-b687-4a5d8cd5239c
3,Ryan Kelly,Mateo Garcia,5-4,3b570fa5-d4fe-42f1-8ca7-940d2bfa8bcf
3,PLAYER,Oliver Smith,4-5,63a0005c-1b98-4998-b90e-951b14a10fee
3,Finn van der Kerg,Amelia Brown,5-2,c2871850-afa2-4967-bcc4-3f6198264521
3,Dylan Thomas,Gabriel Silva,5-4,73c2bdb9-d5c4-4173-9093-5573476f0520
4,Lucas Peeters,Mateo Garcia,5-4,0dc0341a-c9f5-452e-aab1-c6dd514f452b
4,Conor Murphy,Oliver Smith,1-5,e989bd46-9d7e-41af-bd66-12af794e1b9f
4,Ryan Kelly,Amelia Brown,2-5,d50ac089-e3c2-49d4-8d1e-de108d451f10
4,PLAYER,Gabriel Silva,4-5,e221a662-959f-4f8a-99d7-26e3dc730ac1
4,Finn van der Kerg,Dylan Thomas,4-5,510add83-98bc-41e9-a31e-13f32c76dfbc
5,Lucas Peeters,Oliver Smith,4-5,4f865e5a-91ef-4df9-b51d-9c4a2f05a4fd
5,Mateo Garcia,Amelia Brown,3-5,d235b050-6a21-4dd0-9f0a-7f0b2e1b8495
5,Conor Murphy,Gabriel Silva,5-3,a89551ed-f16f-4117-a2ab-1a9b3d630ece
5,Ryan Kelly,Dylan Thomas,4-5,9d8fe0d1-960f-485f-b755-b77aae348071
